image_id,duplicate_of,dominant_clr,saturation,sat_level,brightness,brightness_level,Adults,Children
1263964454040032.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1265806447223576.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
126870842864616.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1271870483233824.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1273486296400632.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1274893739615812.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1277215486031248.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1280367039094224.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1280628255687212.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1282039352215052.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1285898915161317.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1288810764918270.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1290534224756924.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1290783028101285.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1290703411367860.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1291495087955023.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1292670491147959.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1294982807585059.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1298498120604447.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
129975482550414.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1300029200412129.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1300957400306831.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1307906429605527.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1312966459136425.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1317526802081891.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
131871039025001.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
132481655626188.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1332334147163236.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1350820745319993.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
135382452114288.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
135458915392145.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1356088694784940.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1364374557292137.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
136616388612186.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1374280536306465.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1380648569001568.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1381088462272700.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
138933835050386.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
139132728354075.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1392849651084953.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
139403645001376.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
139504678322223.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
139509901631188.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
139566694976869.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
139527651565705.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
139732781630738.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
139746708293512.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1399286633789514.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
140219061569692.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
140273184888097.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1404613416598867.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
140680531515981.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1409237669460653.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1410405399339428.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1410808255964550.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1417747655274340.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1418164891879853.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
141873614749647.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1418299175217736.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
142378538023098.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
142564088000344.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1426432804401275.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
142937507955333.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1430547573979340.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1432272073802545.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1431666863862264.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
